coordinates,Power generated,Power capacity,Remaining Capacity,KVlevels,color,generation name,number of buses,generation type,county,state
POINT (-114.9218 36.3837),652.120008,977.08,324.95999200000006,"{161.0, 13.8, 18.0, 345.0, 765.0}",orange,LAS VEGAS 72,10,ng,Clark,Nevada
POINT (-115.0339 36.1375),128.70070099999998,222.0,93.29929900000002,"{345.0, 161.0}",orange,LAS VEGAS 73,2,ng,Clark,Nevada
POINT (-118.3239 38.8367),0.0,0.0,0.0,{161.0},yellow,LUNING,1,solar,Mineral,Nevada
POINT (-114.4922 39.1042),150.000001,150.0,9.999999974752427e-07,"{345.0, 161.0, 13.8, 1.0}",green,ELY 2,5,wind,White Pine,Nevada
POINT (-119.525 39.5625),777.2692870000001,947.9,170.6307129999999,"{161.0, 13.8, 18.0, 345.0, 765.0}",orange,SPARKS 9,11,ng,Storey,Nevada
POINT (-119.7669 39.37),17.510002,17.51,1.999999998503199e-06,{161.0},yellow,RENO 23,1,solar,Washoe,Nevada
POINT (-115.0507 36.0875),981.311786,1375.6200000000001,394.30821400000013,"{161.0, 1.0, 13.8, 18.0, 345.0, 765.0}",orange,LAS VEGAS 74,18,ng,Clark,Nevada
POINT (-114.9606 36.4078),128.788312,443.14,314.35168799999997,"{161.0, 1.0, 13.8, 20.0, 345.0}",orange,LAS VEGAS 75,8,ng,Clark,Nevada
POINT (-114.97 36.39),16.890001,16.89,1.0000000010279564e-06,{161.0},yellow,LAS VEGAS 76,1,solar,Clark,Nevada
POINT (-119.0731 39.5858),25.920002,25.92,1.999999998503199e-06,{161.0},yellow,FERNLEY 2,1,solar,Churchill,Nevada
POINT (-114.9644 36.3906),17.880001,17.88,1.0000000010279564e-06,{161.0},yellow,LAS VEGAS 77,1,solar,Clark,Nevada
POINT (-119.5178 39.5572),187.316135,252.0,64.683865,{161.0},orange,SPARKS 10,1,ng,Storey,Nevada
POINT (-115.1222 36.2319),218.84704299999999,358.92,140.07295700000003,"{345.0, 161.0, 13.8, 1.0}",orange,NORTH LAS VEGAS 11,5,ng,Clark,Nevada
POINT (-114.9628 35.7864),42.830002,42.83,2.0000000020559128e-06,{161.0},yellow,BOULDER CITY 6,1,solar,Clark,Nevada
POINT (-119.3997 40.3806),6.540001,6.54,1.000000000139778e-06,{161.0},yellow,GERLACH,2,solar,Washoe,Nevada
POINT (-114.9609 36.416),423.747301,600.5999999999999,176.85269899999992,"{345.0, 161.0, 13.8, 1.0}",orange,LAS VEGAS 78,8,ng,Clark,Nevada
POINT (-119.7471 39.3951),23.080002999999998,23.080000000000002,2.999999995978442e-06,"{161.0, 18.0, 1.0}",yellow,RENO 24,4,solar,Washoe,Nevada
POINT (-114.738 36.0155),772.590008,772.59,7.999999979801942e-06,"{24.0, 345.0, 161.0, 13.8}",blue,BUNKERVILLE 2,9,hydro,Mohave,Arizona
POINT (-119.1322 39.1281),229.999993,230.0,7.000000010748408e-06,"{345.0, 161.0, 13.8}",orange,YERINGTON 2,4,ng,Lyon,Nevada
POINT (-111.3 32.5517),122.99999700000001,123.0,2.999999992425728e-06,"{24.0, 115.0, 500.0, 13.8}",orange,CHANDLER 13,5,ng,Pinal,Arizona
POINT (-113.4945 32.9774),302.78000299999997,302.78,2.999999992425728e-06,"{18.0, 115.0, 500.0, 13.8}",yellow,DATELAND 1,5,solar,Yuma,Arizona
POINT (-114.1594 35.0361),75.610013,121.0,45.389987000000005,{115.0},orange,GOLDEN VALLEY 2,1,ng,Mohave,Arizona
POINT (-110.9313 31.3635),81.0,81.0,0.0,"{24.0, 115.0, 500.0, 13.8}",orange,NOGALES 2,4,ng,Santa Cruz,Arizona
POINT (-111.9461 33.4394),22.5,22.5,0.0,"{1.0, 115.0, 13.8}",orange,TEMPE 8,4,ng,Maricopa,Arizona
POINT (-111.1618 33.6711),23.960001,23.96,9.999999974752427e-07,{115.0},blue,PHOENIX 71,3,hydro,Maricopa,Arizona
POINT (-112.2711 35.4156),63.420001,63.42,9.999999974752427e-07,"{1.0, 18.0, 115.0, 500.0}",green,WILLIAMS 3,4,wind,Coconino,Arizona
POINT (-112.2714 33.8447),18.160002,18.16,1.999999998503199e-06,{115.0},blue,PEORIA 8,1,hydro,Maricopa,Arizona
POINT (-112.6658 33.0264),9.990001,9.99,9.999999992515995e-07,"{115.0, 13.8}",yellow,GILA BEND 2,2,solar,Maricopa,Arizona
POINT (-114.7106 32.7214),279.909913,279.91,8.700000000771979e-05,"{345.0, 115.0, 500.0, 765.0}",orange,YUMA 6,5,ng,Yuma,Arizona
POINT (-109.5538 31.3641),0.0,0.0,0.0,"{115.0, 13.8}",gray,DOUGLAS 2,2,coal,Cochise,Arizona
POINT (-114.5707 35.197),181.720004,181.72,3.999999989900971e-06,"{13.8, 18.0, 115.0, 500.0, 20.0, 345.0}",blue,CHLORIDE 1,8,hydro,Mohave,Arizona
POINT (-111.9353 33.3556),369.79999000000004,369.8,9.999999974752427e-06,"{115.0, 500.0, 13.8, 22.0}",orange,TEMPE 9,10,ng,Maricopa,Arizona
POINT (-110.35 31.5553),13.600001,13.6,1.0000000010279564e-06,{115.0},yellow,FORT HUACHUCA 2,2,solar,Cochise,Arizona
POINT (-113.1772 34.5858),0.0,0.0,0.0,"{115.0, 13.8}",yellow,BAGDAD 2,2,solar,Yavapai,Arizona
POINT (-114.5317 34.8678),207.770027,472.0,264.229973,"{1.0, 13.2, 13.8, 18.0, 115.0, 500.0, 765.0}",orange,MOHAVE VALLEY 2,9,ng,Mohave,Arizona
POINT (-109.2708 34.5789),410.82301,821.8,410.97698999999994,"{13.8, 115.0, 500.0, 765.0}",gray,SAINT JOHNS 2,5,coal,Apache,Arizona
POINT (-109.8931 32.0603),412.309581,575.14,162.830419,"{13.8, 18.0, 115.0, 500.0, 22.0, 765.0}",gray,COCHISE,9,coal,Cochise,Arizona
POINT (-111.2428 32.3697),15.350001,15.35,1.0000000010279564e-06,{115.0},yellow,MARANA 3,1,solar,Pima,Arizona
POINT (-111.4431 33.5536),8.860001,8.86,1.0000000010279564e-06,{115.0},blue,PHOENIX 72,2,hydro,Maricopa,Arizona
POINT (-112.8339 33.305),110.980005,110.98,5.000000001587068e-06,"{18.0, 115.0, 13.8}",yellow,BUCKEYE 4,5,solar,Maricopa,Arizona
POINT (-110.2842 34.6596),55.280001,55.28,9.999999974752427e-07,{115.0},green,HEBER 4,1,wind,Navajo,Arizona
POINT (-111.3886 36.9047),1674.9012100000002,2409.3,734.39879,"{13.8, 18.0, 115.0, 500.0, 22.0, 765.0}",gray,PAGE 2,7,coal,Coconino,Arizona
POINT (-112.6614 33.0211),12.480001,12.48,9.999999992515995e-07,{115.0},yellow,GILA BEND 3,3,solar,Maricopa,Arizona
POINT (-112.904 33.3418),74.890004,74.89,4.0000000041118255e-06,{115.0},yellow,TONOPAH 3,1,solar,Maricopa,Arizona
POINT (-112.1583 33.4417),519.500181,840.32,320.81981900000005,"{13.8, 115.0, 500.0, 765.0}",orange,PHOENIX 73,11,ng,Maricopa,Arizona
POINT (-111.1262 32.401),53.9,53.9,0.0,"{115.0, 500.0}",orange,TUCSON 49,2,ng,Pima,Arizona
POINT (-111.6122 33.2675),15.310001,15.31,9.999999992515995e-07,"{115.0, 13.8}",yellow,QUEEN CREEK 3,2,solar,Maricopa,Arizona
POINT (-112.2153 33.5561),613.28999,613.29,9.999999974752427e-06,"{1.0, 13.8, 18.0, 115.0, 20.0, 500.0, 24.0}",orange,GLENDALE 23,10,ng,Maricopa,Arizona
POINT (-111.5033 32.9174),618.8299850000001,726.0,107.17001499999992,"{1.0, 13.8, 18.0, 115.0, 500.0, 22.0, 765.0}",orange,CHANDLER 14,13,ng,Pinal,Arizona
POINT (-114.1597 35.0156),5.430001,5.43,1.000000000139778e-06,"{115.0, 13.8}",yellow,GOLDEN VALLEY 3,2,solar,Mohave,Arizona
POINT (-112.4275 34.6494),10.310001,10.31,9.999999992515995e-07,{115.0},yellow,PRESCOTT 4,1,solar,Yavapai,Arizona
POINT (-112.8642 33.345),394.758524,461.06,66.30147599999998,"{18.0, 115.0, 13.8}",orange,ARLINGTON 9,5,ng,Maricopa,Arizona
POINT (-112.8617 33.3881),4209.600042,4209.6,4.199999966658652e-05,"{13.8, 18.0, 115.0, 500.0, 765.0}",red,PHOENIX 74,7,nuclear,Maricopa,Arizona
POINT (-112.9559 32.9223),119.090001,119.09,9.999999974752427e-07,"{115.0, 500.0, 13.8}",yellow,GILA BEND 4,4,solar,Maricopa,Arizona
POINT (-110.9047 32.16),558.500002,558.5,1.9999999949504854e-06,"{13.8, 18.0, 115.0, 500.0, 765.0}",gray,TUCSON 50,10,coal,Pima,Arizona
POINT (-114.6541 32.7288),31.299999,31.3,1.0000000010279564e-06,{115.0},orange,YUMA 7,1,ng,Yuma,Arizona
POINT (-111.9283 33.4172),9.199999,9.2,9.999999992515995e-07,"{115.0, 13.8}",orange,CHANDLER 15,3,ng,Maricopa,Arizona
POINT (-110.9921 32.2523),84.999999,85.0,9.999999974752427e-07,{115.0},orange,TUCSON 51,1,ng,Pima,Arizona
POINT (-111.7889 32.9042),587.413739,646.11,58.69626100000005,"{18.0, 115.0, 500.0, 13.8}",orange,CASA GRANDE 5,5,ng,Pinal,Arizona
POINT (-110.9528 32.2299),9.0,9.0,0.0,{115.0},orange,TUCSON 52,1,ng,Pima,Arizona
POINT (-111.484 33.1606),20.000001,20.0,1.0000000010279564e-06,"{115.0, 22.0}",yellow,GLOBE 2,3,solar,Pinal,Arizona
POINT (-109.1639 34.3186),1150.921994,1324.35,173.42800599999987,"{13.8, 13.2, 115.0, 500.0, 22.0, 765.0}",gray,SPRINGERVILLE 2,8,coal,Apache,Arizona
POINT (-112.6944 32.975),646.39958,1237.98,591.58042,"{18.0, 115.0, 13.8}",orange,GILA BEND 5,7,ng,Maricopa,Arizona
POINT (-111.5899 32.9285),604.9799579999999,604.98,4.200000012133387e-05,"{13.8, 18.0, 115.0, 500.0, 22.0, 24.0}",orange,CHANDLER 16,8,ng,Pinal,Arizona
POINT (-111.7503 33.3325),1206.359978,1326.0,119.64002200000004,"{1.0, 13.8, 18.0, 115.0, 500.0, 20.0, 24.0, 765.0}",orange,GILBERT 12,11,ng,Maricopa,Arizona
POINT (-113.1134 33.476),931.5095090000001,1104.25,172.7404909999999,"{13.8, 18.0, 115.0, 500.0, 22.0, 765.0}",orange,TONOPAH 4,9,ng,Maricopa,Arizona
POINT (-110.335 34.5032),0.0,0.0,0.0,{115.0},yellow,SNOWFLAKE 2,1,solar,Navajo,Arizona
POINT (-113.3589 33.0278),9.400001,9.4,9.999999992515995e-07,{115.0},yellow,DATELAND 2,1,solar,Yuma,Arizona
POINT (-110.8669 32.1458),6.670001,6.67,1.000000000139778e-06,"{115.0, 13.8}",yellow,TUCSON 53,2,solar,Pima,Arizona
POINT (-111.4839 36.9366),576.960006,576.96,5.999999984851456e-06,"{18.0, 115.0, 500.0, 13.8}",blue,PAGE 3,9,hydro,Coconino,Arizona
POINT (-110.3033 34.9394),853.068511,1128.8,275.731489,"{13.8, 115.0, 500.0, 765.0}",gray,JOSEPH CITY 2,8,coal,Navajo,Arizona
POINT (-111.9122 33.4225),219.799994,219.79999999999998,5.999999984851456e-06,"{1.0, 13.8, 18.0, 115.0, 500.0, 20.0}",orange,TEMPE 10,8,ng,Maricopa,Arizona
POINT (-110.1734 34.6062),49.230001,49.23,1.00000000458067e-06,"{115.0, 500.0}",green,HEBER 5,2,wind,Navajo,Arizona
POINT (-111.536 33.5661),10.360001,10.36,1.0000000010279564e-06,{115.0},blue,PHOENIX 75,1,hydro,Maricopa,Arizona
POINT (-114.4287 32.6486),0.0,0.0,0.0,{115.0},yellow,YUMA 8,3,solar,Yuma,Arizona
POINT (-111.344 33.5907),14.320001999999999,14.32,1.999999998503199e-06,"{115.0, 500.0}",blue,PHOENIX 76,3,hydro,Maricopa,Arizona
POINT (-112.6944 32.975),825.3199529999999,825.32,4.700000010871008e-05,"{13.8, 18.0, 115.0, 500.0, 765.0}",orange,GILA BEND 6,10,ng,Maricopa,Arizona
POINT (-110.8997 32.1736),7.630001,7.63,1.000000000139778e-06,{115.0},yellow,TUCSON 54,1,solar,Pima,Arizona
POINT (-112.8406 33.3346),1120.92598,1140.3,19.374019999999973,"{18.0, 115.0, 500.0, 13.8}",orange,ARLINGTON 10,8,ng,Maricopa,Arizona
POINT (-113.344 33.0257),18.800002,18.8,1.999999998503199e-06,"{1.0, 115.0, 13.8}",yellow,DATELAND 3,4,solar,Yuma,Arizona
POINT (-114.738 36.0155),538.090005,538.0899999999999,5.000000101063051e-06,"{1.0, 13.8, 18.0, 115.0, 500.0, 765.0}",blue,CHLORIDE 2,11,hydro,Mohave,Arizona
POINT (-112.8814 32.9408),0.0,0.0,0.0,{115.0},yellow,GILA BEND 7,1,solar,Maricopa,Arizona
POINT (-112.8897 33.3417),81.020003,237.67,156.64999699999998,"{13.8, 18.0, 115.0, 20.0, 500.0}",orange,ARLINGTON 11,5,ng,Maricopa,Arizona
POINT (-112.7794 33.4936),9.970001,9.97,9.999999992515995e-07,{115.0},yellow,TONOPAH 5,1,solar,Maricopa,Arizona
POINT (-111.2828 32.3717),15.610001,15.61,1.0000000010279564e-06,{115.0},yellow,MARANA 4,1,solar,Pima,Arizona
POINT (-112.8642 33.345),30.570004,230.53,199.959996,"{13.2, 13.8, 115.0, 500.0, 24.0}",orange,ARLINGTON 12,6,ng,Maricopa,Arizona
POINT (-113.1808 33.3783),11.600001,11.6,1.0000000010279564e-06,"{18.0, 115.0}",yellow,TONOPAH 6,2,solar,Maricopa,Arizona
POINT (-114.1333 35.054),522.755327,654.39,131.63467300000002,"{13.8, 18.0, 115.0, 500.0, 22.0, 345.0}",orange,LAKE HAVASU CITY 4,7,ng,Mohave,Arizona
POINT (-112.429 34.7184),0.0,0.0,0.0,"{18.0, 115.0}",yellow,CHINO VALLEY 2,3,solar,Yavapai,Arizona
POINT (-112.6617 33.0347),11.820001,11.82,9.999999992515995e-07,{115.0},yellow,GILA BEND 8,1,solar,Maricopa,Arizona
POINT (-114.0675 35.1458),7.280001,7.28,1.000000000139778e-06,{115.0},green,KINGMAN 4,1,wind,Mohave,Arizona
POINT (-111.7542 40.3317),908.5390500000001,930.82,22.28094999999996,"{161.0, 1.0, 13.8, 13.2, 18.0, 500.0, 20.0, 22.0}",orange,OREM 6,11,ng,Utah,Utah
POINT (-110.3917 39.5472),58.1,58.1,0.0,"{161.0, 500.0}",gray,SUNNYSIDE 2,2,coal,Carbon,Utah
POINT (-111.9038 40.7931),12.5,12.5,0.0,{161.0},orange,SALT LAKE CITY 29,1,ng,Salt Lake,Utah
POINT (-112.0317 40.6667),217.0,217.0,0.0,"{161.0, 1.0, 13.8, 500.0, 24.0}",orange,SALT LAKE CITY 30,8,ng,Salt Lake,Utah
POINT (-112.0521 41.8347),26.930002,26.93,2.0000000020559128e-06,"{161.0, 13.8}",blue,COLLINSTON,2,hydro,Box Elder,Utah
POINT (-109.2844 40.0864),499.500005,499.5,4.9999999873762135e-06,"{161.0, 18.0, 500.0}",gray,VERNAL 3,3,coal,Uintah,Utah
POINT (-112.5802 39.5097),1647.000014,1647.0,1.3999999964653398e-05,"{161.0, 13.8, 500.0, 20.0}",gray,DELTA 2,6,coal,Millard,Utah
POINT (-112.8533 38.4889),43.000003,43.00000000000001,2.999999992425728e-06,"{161.0, 13.8}",yellow,MILFORD 2,3,solar,Beaver,Utah
POINT (-112.5811 38.5603),10.080001,10.08,9.999999992515995e-07,"{161.0, 18.0}",yellow,BEAVER 2,3,solar,Beaver,Utah
POINT (-111.0289 39.1747),1560.3636390000001,1577.19,16.826360999999906,"{161.0, 18.0, 500.0, 13.8}",gray,CASTLE DALE 2,5,coal,Emery,Utah
POINT (-111.8935 39.8214),648.989999,648.99,9.999999974752427e-07,"{161.0, 500.0, 13.8}",orange,MONA 2,6,ng,Juab,Utah
POINT (-112.935 38.5357),160.850001,160.85,9.999999974752427e-07,"{345.0, 18.0, 161.0, 500.0}",green,MILFORD 3,5,wind,Beaver,Utah
POINT (-111.8853 40.8869),20.26,20.26,0.0,"{161.0, 18.0, 13.8}",orange,BOUNTIFUL 3,3,ng,Davis,Utah
POINT (-110.8644 39.7272),208.599998,208.6,1.9999999949504854e-06,"{161.0, 1.0, 13.8, 18.0, 500.0}",gray,HELPER 2,6,coal,Carbon,Utah
POINT (-112.931 38.5852),91.740001,91.74,1.0000000116860974e-06,"{161.0, 13.8}",green,MILFORD 4,4,wind,Millard,Utah
POINT (-111.7294 40.0614),140.0,140.0,0.0,"{161.0, 500.0, 13.8, 1.0}",orange,PAYSON 3,5,ng,Utah,Utah
POINT (-110.5556 41.2874),127.660001,127.66,9.999999974752427e-07,"{161.0, 138.0, 13.8, 500.0, 345.0}",green,EVANSTON 2,8,wind,Uinta,Wyoming
POINT (-111.89 40.67),14.0,14.0,0.0,{161.0},orange,SALT LAKE CITY 31,1,ng,Salt Lake,Utah
POINT (-112.1225 40.7119),213.800002,213.8,1.9999999949504854e-06,"{24.0, 161.0, 500.0, 13.8}",gray,MAGNA 3,5,coal,Salt Lake,Utah
POINT (-111.9289 40.7686),492.0900019999999,492.0899999999999,1.9999999949504854e-06,"{161.0, 500.0}",orange,SALT LAKE CITY 32,3,ng,Salt Lake,Utah
POINT (-111.0781 39.3792),518.650004,518.65,3.999999989900971e-06,"{161.0, 18.0, 500.0, 13.8}",gray,HUNTINGTON 2,4,coal,Emery,Utah
POINT (-112.7339 40.9133),48.0,48.0,0.0,"{161.0, 500.0}",orange,GRANTSVILLE 2,3,ng,Tooele,Utah
POINT (-113.5166 37.1121),40.0,40.0,0.0,"{161.0, 18.0, 500.0, 1.0}",orange,SAINT GEORGE 5,5,ng,Washington,Utah
POINT (-109.4217 40.9146),112.230003,112.22999999999999,3.000000006636583e-06,"{161.0, 138.0, 500.0}",blue,DUTCH JOHN,3,hydro,Daggett,Utah
POINT (-108.4386 36.8006),268.430004,1386.0,1117.569996,"{115.0, 500.0, 13.8, 230.0}",gray,WATERFLOW,9,coal,San Juan,New Mexico
POINT (-107.6131 36.8061),54.620006000000004,54.620000000000005,5.999999999062311e-06,"{18.0, 115.0, 13.2, 13.8}",blue,FARMINGTON 5,5,hydro,San Juan,New Mexico
POINT (-107.5093 32.5543),0.0,0.0,0.0,{115.0},green,DEMING 2,2,wind,Luna,New Mexico
POINT (-108.082 35.4159),257.000002,257.0,1.9999999949504854e-06,"{1.0, 230.0, 13.8, 18.0, 115.0, 500.0}",gray,PREWITT,8,coal,McKinley,New Mexico
POINT (-108.3628 32.6618),15.14,15.14,0.0,{115.0},gray,TYRONE,2,coal,Grant,New Mexico
POINT (-106.5472 31.8047),372.48999999999995,372.48999999999995,0.0,"{230.0, 13.8, 18.0, 115.0, 500.0}",orange,SUNLAND PARK 2,8,ng,Doña Ana,New Mexico
POINT (-108.698 32.3505),88.0,88.0,0.0,{115.0},orange,LORDSBURG 1,2,ng,Hidalgo,New Mexico
POINT (-106.4642 35.3844),30.0,30.0,0.0,{115.0},orange,ALGODONES 2,2,ng,Sandoval,New Mexico
POINT (-107.7834 32.2993),433.340002,433.34,2.0000000517939043e-06,"{230.0, 13.8, 18.0, 115.0, 500.0}",orange,DEMING 3,7,ng,Luna,New Mexico
POINT (-106.7322 34.6115),159.500001,159.5,9.999999974752427e-07,"{1.0, 230.0, 13.8, 18.0, 115.0}",orange,BELEN 2,5,ng,Valencia,New Mexico
POINT (-106.6733 31.7928),27.050003,27.05,2.9999999995311555e-06,"{18.0, 115.0, 13.8}",yellow,LA MESA 5,4,solar,Doña Ana,New Mexico
POINT (-106.644 35.026),163.700001,163.7,9.999999974752427e-07,"{18.0, 115.0, 13.8, 230.0}",orange,ALBUQUERQUE 30,4,ng,Bernalillo,New Mexico
POINT (-105.9625 34.4667),100.000001,100.0,9.999999974752427e-07,"{115.0, 230.0}",green,WILLARD 2,3,wind,Torrance,New Mexico
POINT (-107.3828 35.2689),92.380001,92.38,9.999999974752427e-07,"{1.0, 230.0, 13.8, 115.0, 20.0}",green,CUBERO,5,wind,Cibola,New Mexico
POINT (-107.9417 36.7367),91.19999899999999,91.19999999999999,9.999999974752427e-07,"{1.0, 18.0, 115.0, 230.0}",orange,BLOOMFIELD 2,4,ng,San Juan,New Mexico
POINT (-108.1225 32.6956),54.0,54.0,0.0,"{1.0, 115.0, 13.8, 230.0}",orange,HURLEY,6,ng,Grant,New Mexico
POINT (-108.5494 32.2363),139.500001,139.5,9.999999974752427e-07,"{115.0, 230.0}",orange,LORDSBURG 2,2,ng,Hidalgo,New Mexico
POINT (-106.8465 32.1142),287.000002,287.0,1.9999999949504854e-06,"{18.0, 115.0, 13.8, 230.0}",orange,LA MESA 6,4,ng,Doña Ana,New Mexico
POINT (-108.4814 36.69),1094.589997,1636.2,541.610003,"{230.0, 13.8, 115.0, 500.0, 24.0}",gray,FRUITLAND 2,6,coal,San Juan,New Mexico
POINT (-107.48 32.57),71.130003,71.13,3.000000006636583e-06,"{115.0, 230.0}",yellow,DEMING 4,3,solar,Luna,New Mexico
POINT (-108.2153 36.7166),91.60000099999999,91.6,9.999999974752427e-07,{115.0},orange,FARMINGTON 6,2,ng,San Juan,New Mexico
POINT (-106.6019 35.171),153.99,153.99,0.0,"{115.0, 500.0, 230.0}",orange,ALBUQUERQUE 31,3,ng,Bernalillo,New Mexico
POINT (-103.259 40.941),0.0,0.0,0.0,"{18.0, 115.0, 500.0, 230.0}",green,PEETZ 1,5,wind,Logan,Colorado
POINT (-102.8969 40.9881),134.820002,134.82,1.9999999949504854e-06,"{115.0, 500.0, 230.0}",green,PEETZ 2,3,wind,Logan,Colorado
POINT (-104.6875 38.5569),159.293385,228.0,68.706615,"{1.0, 230.0, 13.8, 115.0, 500.0}",orange,FOUNTAIN 3,6,ng,El Paso,Colorado
POINT (-104.0206 40.8944),180.880002,180.88,1.9999999949504854e-06,"{1.0, 230.0, 138.0, 13.8, 115.0, 500.0}",green,GROVER,8,wind,Weld,Colorado
POINT (-103.6781 39.4218),167.950002,167.95,2.000000023372195e-06,"{24.0, 115.0, 500.0, 230.0}",green,LIMON 2,5,wind,Lincoln,Colorado
POINT (-103.436 40.986),167.960002,167.96,1.9999999949504854e-06,"{115.0, 500.0, 13.8, 230.0}",green,PEETZ 3,4,wind,Logan,Colorado
POINT (-104.5747 38.2081),1635.300013,1635.3000000000002,1.2999999853491317e-05,"{1.0, 230.0, 13.8, 115.0, 500.0, 22.0}",gray,PUEBLO 12,8,coal,Pueblo,Colorado
POINT (-103.5732 39.381),200.000002,200.0,1.9999999949504854e-06,"{18.0, 115.0, 500.0, 230.0}",green,LIMON 3,5,wind,Lincoln,Colorado
POINT (-104.7736 40.0986),396.899952,396.9,4.799999999249849e-05,"{115.0, 500.0, 230.0}",orange,FORT LUPTON 2,4,ng,Weld,Colorado
POINT (-105.202 40.0195),251.000002,251.0,1.9999999949504854e-06,"{115.0, 500.0, 13.8, 230.0}",gray,BOULDER 9,5,coal,Boulder,Colorado
POINT (-102.2431 39.3561),129.4,129.4,0.0,"{115.0, 500.0, 230.0}",gray,BURLINGTON 4,3,coal,Kit Carson,Colorado
POINT (-104.8742 40.2461),246.640014,611.24,364.599986,"{230.0, 13.8, 18.0, 115.0, 500.0, 20.0, 24.0, 345.0}",orange,PLATTEVILLE 2,12,ng,Weld,Colorado
POINT (-105.8947 37.4594),37.24007,53.2,15.95993,"{115.0, 230.0}",orange,ALAMOSA 2,2,ng,Alamosa,Colorado
POINT (-102.5379 38.0333),43.5,43.5,0.0,{115.0},gray,LAMAR 2,1,coal,Prowers,Colorado
POINT (-102.8622 37.6735),98.05000199999999,98.05,1.9999999949504854e-06,"{1.0, 115.0, 13.8, 230.0}",green,LAMAR 3,7,wind,Bent,Colorado
POINT (-107.185 40.4856),465.400004,465.4,4.00000004674439e-06,"{115.0, 500.0, 13.8, 230.0}",gray,HAYDEN 2,5,coal,Routt,Colorado
POINT (-103.7839 40.9475),250.800002,250.8,1.9999999949504854e-06,"{115.0, 500.0, 20.0, 230.0}",green,NEW RAYMER,4,wind,Weld,Colorado
POINT (-104.6814 39.7479),147.600013,397.8,250.19998700000002,"{230.0, 18.0, 115.0, 500.0, 22.0}",orange,AURORA 19,6,ng,Adams,Colorado
POINT (-103.4742 39.3533),139.820001,139.82,9.999999974752427e-07,"{115.0, 13.8, 230.0}",green,VONA,3,wind,Lincoln,Colorado
POINT (-105.3251 40.3651),38.200001,38.2,9.999999974752427e-07,{115.0},blue,LOVELAND 5,2,hydro,Larimer,Colorado
POINT (-104.9645 39.8073),586.3100069999998,586.3099999999998,6.999999982326699e-06,"{230.0, 13.8, 18.0, 115.0, 500.0}",gray,DENVER 55,7,coal,Adams,Colorado
POINT (-103.631 40.2415),189.529963,251.64999999999998,62.12003699999997,"{115.0, 230.0}",orange,BRUSH 2,3,ng,Morgan,Colorado
POINT (-108.5069 38.2383),113.800002,113.8,2.00000000916134e-06,"{161.0, 115.0, 500.0, 230.0}",gray,NUCLA,4,coal,Montrose,Colorado
POINT (-105.7088 39.6551),240.57000299999999,240.57,2.999999992425728e-06,"{1.0, 230.0, 13.8, 18.0, 115.0, 500.0}",blue,GEORGETOWN,10,hydro,Clear Creek,Colorado
POINT (-103.6803 40.2217),552.300005,552.3,5.000000101063051e-06,"{115.0, 500.0, 20.0, 230.0}",gray,BRUSH 3,4,coal,Morgan,Colorado
POINT (-104.682 39.9411),154.199998,154.2,1.9999999949504854e-06,"{1.0, 230.0, 18.0, 115.0, 500.0}",orange,COMMERCE CITY 3,5,ng,Adams,Colorado
POINT (-102.6231 37.7033),142.310001,142.31,9.999999974752427e-07,"{18.0, 115.0, 500.0, 230.0}",green,LAMAR 4,5,wind,Prowers,Colorado
POINT (-104.8169 38.8814),0.0,0.0,0.0,"{115.0, 13.2, 22.0}",orange,COLORADO SPRINGS 33,3,ng,El Paso,Colorado
POINT (-107.6253 38.5106),27.740002,27.740000000000002,1.999999998503199e-06,{115.0},blue,MONTROSE 3,1,hydro,Montrose,Colorado
POINT (-103.7005 39.2038),37.060041,154.2,117.13995899999999,"{1.0, 230.0, 18.0, 115.0, 500.0}",orange,LIMON 4,7,ng,Lincoln,Colorado
POINT (-105.226 39.8575),75.999997,76.0,3.000000006636583e-06,{115.0},orange,ARVADA 9,1,ng,Jefferson,Colorado
POINT (-104.7058 38.6335),282.59999700000003,282.6,2.999999992425728e-06,"{18.0, 115.0, 13.8}",gray,FOUNTAIN 4,4,coal,El Paso,Colorado
POINT (-103.5811 39.3414),175.680002,175.68,1.9999999949504854e-06,"{24.0, 115.0, 230.0}",green,LIMON 5,5,wind,Lincoln,Colorado
POINT (-105.236 40.365),66.39000300000001,66.39,3.000000006636583e-06,"{115.0, 230.0}",blue,LYONS 3,2,hydro,Larimer,Colorado
POINT (-104.5264 38.3208),266.10997399999997,366.6499999999999,100.54002599999995,"{1.0, 230.0, 13.8, 18.0, 115.0, 500.0, 20.0, 24.0}",orange,PUEBLO 13,12,ng,Pueblo,Colorado
POINT (-106.3327 39.8788),30.700004,30.7,4.000000000559112e-06,"{115.0, 13.8}",blue,KREMMLING 2,4,hydro,Summit,Colorado
POINT (-105.9276 37.6945),45.920004000000006,45.919999999999995,4.000000011217253e-06,"{115.0, 500.0, 230.0}",yellow,MOSCA,3,solar,Alamosa,Colorado
POINT (-107.5393 38.4518),81.500002,81.5,1.9999999949504854e-06,"{115.0, 500.0, 13.8, 230.0}",blue,MONTROSE 4,6,hydro,Montrose,Colorado
POINT (-105.017 39.7373),75.0,75.0,0.0,{115.0},orange,DENVER 56,1,ng,Denver,Colorado
POINT (-107.3375 38.4532),26.080001,26.08,1.0000000010279564e-06,{115.0},blue,MONTROSE 5,2,hydro,Gunnison,Colorado
